test_suite,test_name,test_root,matrix_identity,source_artifact,budget,cut_in_count,draws,expected_inclusion,represented,scheme,seed
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_single,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_split,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.91171109312310994,1,wdro_single,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.80507788990694684,0,wdro_nominal_split_unconditional,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.56965568668657296,1,nominal_single,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.56965568668657296,1,nominal_split,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,4,80,0.91171109312310994,1,wdro_single,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,3,80,0.80507788990694684,1,wdro_nominal_split_unconditional,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_single,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_split,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.91171109312310994,1,wdro_single,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.80507788990694684,1,wdro_nominal_split_unconditional,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_single,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_split,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.91171109312310994,1,wdro_single,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.80507788990694684,1,wdro_nominal_split_unconditional,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.56965568668657296,1,nominal_single,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.56965568668657296,1,nominal_split,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.91171109312310994,1,wdro_single,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,1,80,0.80507788990694684,1,wdro_nominal_split_unconditional,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.56965568668657296,1,nominal_single,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.56965568668657296,1,nominal_split,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.91171109312310994,1,wdro_single,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.80507788990694684,1,wdro_nominal_split_unconditional,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.56965568668657296,1,nominal_single,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,2,80,0.56965568668657296,1,nominal_split,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,4,80,0.91171109312310994,1,wdro_single,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,3,80,0.80507788990694684,1,wdro_nominal_split_unconditional,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_single,10010
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.56965568668657296,0,nominal_split,10010
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.91171109312310994,0,wdro_single,10010
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,80,0,80,0.80507788990694684,0,wdro_nominal_split_unconditional,10010
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.81480377199879495,1,nominal_single,10001
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.81480377199879495,1,nominal_split,10001
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,5,160,0.99220506892248383,1,wdro_single,10001
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10001
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,0,160,0.81480377199879495,0,nominal_single,10002
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,0,160,0.81480377199879495,0,nominal_split,10002
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.99220506892248383,1,wdro_single,10002
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10002
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.81480377199879495,1,nominal_single,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.81480377199879495,1,nominal_split,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,6,160,0.99220506892248383,1,wdro_single,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,4,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10003
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.81480377199879495,1,nominal_single,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.81480377199879495,1,nominal_split,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,7,160,0.99220506892248383,1,wdro_single,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,5,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10004
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.81480377199879495,1,nominal_single,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.81480377199879495,1,nominal_split,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,6,160,0.99220506892248383,1,wdro_single,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,4,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10005
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,0,160,0.81480377199879495,0,nominal_single,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,0,160,0.81480377199879495,0,nominal_split,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.99220506892248383,1,wdro_single,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10006
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.81480377199879495,1,nominal_single,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.81480377199879495,1,nominal_split,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.99220506892248383,1,wdro_single,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,1,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10007
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.81480377199879495,1,nominal_single,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.81480377199879495,1,nominal_split,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,5,160,0.99220506892248383,1,wdro_single,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,3,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10008
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.81480377199879495,1,nominal_single,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.81480377199879495,1,nominal_split,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,5,160,0.99220506892248383,1,wdro_single,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,4,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10009
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.81480377199879495,1,nominal_single,10010
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.81480377199879495,1,nominal_split,10010
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,4,160,0.99220506892248383,1,wdro_single,10010
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/coverage_trials.csv,160,2,160,0.96200537099687167,1,wdro_nominal_split_unconditional,10010
